match_id,match_type,team1,team2,winner,result_type,result_value,date,city
1000851,Tests,Australia,South Africa,South Africa,runs,177.0,2016-11-03,Perth
1000853,Tests,Australia,South Africa,South Africa,innings,1.0,2016-11-12,Hobart
1000855,Tests,Australia,South Africa,Australia,wickets,7.0,2016-11-24,N/A
1000881,Tests,Australia,Pakistan,Australia,runs,39.0,2016-12-15,Brisbane
1000883,Tests,Australia,Pakistan,Australia,innings,1.0,2016-12-26,N/A
1000885,Tests,Australia,Pakistan,Australia,runs,220.0,2017-01-03,N/A
1019985,Tests,New Zealand,Bangladesh,New Zealand,wickets,7.0,2017-01-12,Wellington
1019987,Tests,New Zealand,Bangladesh,New Zealand,wickets,9.0,2017-01-20,Christchurch
1019993,Tests,New Zealand,Pakistan,New Zealand,wickets,8.0,2016-11-17,Christchurch
1019995,Tests,New Zealand,Pakistan,New Zealand,runs,138.0,2016-11-25,Hamilton
1020041,Tests,New Zealand,South Africa,draw,N/A,,2017-03-08,Dunedin
1020043,Tests,New Zealand,South Africa,South Africa,wickets,8.0,2017-03-16,Wellington
1020045,Tests,New Zealand,South Africa,draw,N/A,,2017-03-25,Hamilton
1022593,Tests,West Indies,India,India,innings,1.0,2016-07-21,Antigua
1022595,Tests,West Indies,India,draw,N/A,,2016-07-30,Jamaica
1022597,Tests,West Indies,India,India,runs,237.0,2016-08-09,St Lucia
1022599,Tests,West Indies,India,draw,N/A,,2016-08-18,Trinidad
1024041,Tests,Zimbabwe,New Zealand,New Zealand,innings,1.0,2016-07-28,Bulawayo
1024043,Tests,Zimbabwe,New Zealand,New Zealand,runs,254.0,2016-08-06,Bulawayo
1029825,Tests,Bangladesh,England,England,runs,22.0,2016-10-20,Chittagong
1029827,Tests,Bangladesh,England,Bangladesh,runs,108.0,2016-10-28,Mirpur
1030213,Tests,India,New Zealand,India,runs,197.0,2016-09-22,Kanpur
1030215,Tests,India,New Zealand,India,runs,178.0,2016-09-30,Kolkata
1030217,Tests,India,New Zealand,India,runs,321.0,2016-10-08,Indore
1031437,Tests,England,South Africa,England,runs,211.0,2017-07-06,London
1031439,Tests,South Africa,England,South Africa,runs,340.0,2017-07-14,Nottingham
1031441,Tests,England,South Africa,England,runs,239.0,2017-07-27,London
1031443,Tests,England,South Africa,England,runs,177.0,2017-08-04,Manchester
1031659,Tests,England,West Indies,England,innings,1.0,2017-08-17,Birmingham
1031661,Tests,England,West Indies,West Indies,wickets,5.0,2017-08-25,Leeds
1031663,Tests,West Indies,England,England,wickets,9.0,2017-09-07,London
1034809,Tests,India,England,draw,N/A,,2016-11-09,Rajkot
1034811,Tests,India,England,India,runs,246.0,2016-11-17,Visakhapatnam
1034813,Tests,India,England,India,wickets,8.0,2016-11-26,Chandigarh
1034815,Tests,India,England,India,innings,1.0,2016-12-08,Mumbai
1034817,Tests,India,England,India,innings,1.0,2016-12-16,Chennai
1041761,Tests,India,Bangladesh,India,runs,208.0,2017-02-09,Hyderabad
1050229,Tests,Pakistan,West Indies,Pakistan,runs,56.0,2016-10-13,N/A
1050231,Tests,Pakistan,West Indies,Pakistan,runs,133.0,2016-10-21,Abu Dhabi
1050233,Tests,Pakistan,West Indies,West Indies,wickets,5.0,2016-10-30,N/A
1059702,Tests,Zimbabwe,Sri Lanka,Sri Lanka,runs,225.0,2016-10-29,N/A
1059703,Tests,Zimbabwe,Sri Lanka,Sri Lanka,runs,257.0,2016-11-06,N/A
1062573,Tests,India,Australia,Australia,runs,333.0,2017-02-23,Pune
1062574,Tests,India,Australia,India,runs,75.0,2017-03-04,Bengaluru
1062575,Tests,India,Australia,draw,N/A,,2017-03-16,Ranchi
1062576,Tests,India,Australia,India,wickets,8.0,2017-03-25,Dharamsala
1072305,Tests,England,Australia,Australia,wickets,10.0,2017-11-23,Brisbane
1072306,Tests,Australia,England,Australia,runs,120.0,2017-12-02,N/A
1072307,Tests,England,Australia,Australia,innings,1.0,2017-12-14,Perth
1072308,Tests,Australia,England,draw,N/A,,2017-12-26,N/A
1072309,Tests,England,Australia,Australia,innings,1.0,2018-01-04,N/A
1075502,Tests,South Africa,Bangladesh,South Africa,runs,333.0,2017-09-28,Potchefstroom
1075503,Tests,South Africa,Bangladesh,South Africa,innings,1.0,2017-10-06,Bloemfontein
1075982,Tests,Australia,South Africa,Australia,runs,118.0,2018-03-01,Durban
1075983,Tests,Australia,South Africa,South Africa,wickets,6.0,2018-03-09,Port Elizabeth
1075984,Tests,South Africa,Australia,South Africa,runs,322.0,2018-03-22,Cape Town
1075985,Tests,South Africa,Australia,South Africa,runs,492.0,2018-03-30,Johannesburg
1077953,Tests,West Indies,Pakistan,Pakistan,wickets,7.0,2017-04-21,Jamaica
1077954,Tests,West Indies,Pakistan,West Indies,runs,106.0,2017-04-30,Barbados
1077955,Tests,West Indies,Pakistan,Pakistan,runs,101.0,2017-05-10,Dominica
1083444,Tests,Sri Lanka,Bangladesh,Sri Lanka,runs,259.0,2017-03-07,N/A
1083445,Tests,Sri Lanka,Bangladesh,Bangladesh,wickets,4.0,2017-03-15,Colombo
1086066,Tests,England,Australia,draw,N/A,,2017-11-09,Sydney
1104284,Tests,Bangladesh,Australia,Bangladesh,runs,20.0,2017-08-27,Dhaka
1104285,Tests,Bangladesh,Australia,Australia,wickets,7.0,2017-09-04,Chattogram
1104483,Tests,Zimbabwe,Sri Lanka,Sri Lanka,wickets,4.0,2017-07-14,Colombo
1109602,Tests,India,Sri Lanka,India,runs,304.0,2017-07-26,N/A
1109603,Tests,India,Sri Lanka,India,innings,1.0,2017-08-03,Colombo
1109604,Tests,India,Sri Lanka,India,innings,1.0,2017-08-12,N/A
1115780,Tests,England,New Zealand,New Zealand,innings,1.0,2018-03-22,Auckland
1115781,Tests,England,New Zealand,draw,N/A,,2018-03-30,Christchurch
1115793,Tests,West Indies,New Zealand,New Zealand,innings,1.0,2017-12-01,Wellington
1115794,Tests,New Zealand,West Indies,New Zealand,runs,240.0,2017-12-09,Hamilton
1119535,Tests,England,Pakistan,Pakistan,wickets,9.0,2018-05-24,London
1119536,Tests,Pakistan,England,England,innings,1.0,2018-06-01,Leeds
1119549,Tests,England,India,England,runs,31.0,2018-08-01,Birmingham
1119550,Tests,India,England,England,innings,1.0,2018-08-09,London
1119551,Tests,India,England,India,runs,203.0,2018-08-18,Nottingham
1119552,Tests,England,India,England,runs,60.0,2018-08-30,Southampton
1119553,Tests,England,India,England,runs,118.0,2018-09-07,London
1120284,Tests,Sri Lanka,Pakistan,Sri Lanka,runs,21.0,2017-09-28,Abu Dhabi
1120285,Tests,Sri Lanka,Pakistan,Sri Lanka,runs,68.0,2017-10-06,N/A
1122276,Tests,South Africa,India,South Africa,runs,72.0,2018-01-05,Cape Town
1122277,Tests,South Africa,India,South Africa,runs,135.0,2018-01-13,Centurion
1122278,Tests,India,South Africa,India,runs,63.0,2018-01-24,Johannesburg
1122310,Tests,South Africa,Zimbabwe,South Africa,innings,1.0,2017-12-26,Port Elizabeth
1122723,Tests,India,Sri Lanka,draw,N/A,,2017-11-16,Kolkata
1122724,Tests,Sri Lanka,India,India,innings,1.0,2017-11-24,Nagpur
1122725,Tests,India,Sri Lanka,draw,N/A,,2017-12-02,Delhi
1122886,Tests,West Indies,Zimbabwe,West Indies,runs,117.0,2017-10-21,Bulawayo
1122887,Tests,Zimbabwe,West Indies,draw,N/A,,2017-10-29,Bulawayo
1127284,Tests,Ireland,Pakistan,Pakistan,wickets,5.0,2018-05-11,Dublin
1130744,Tests,Bangladesh,Sri Lanka,draw,N/A,,2018-01-31,Chattogram
1130745,Tests,Sri Lanka,Bangladesh,Sri Lanka,runs,215.0,2018-02-08,Dhaka
1135149,Tests,West Indies,Sri Lanka,West Indies,runs,226.0,2018-06-06,Trinidad
1135150,Tests,Sri Lanka,West Indies,draw,N/A,,2018-06-14,St Lucia
1135151,Tests,West Indies,Sri Lanka,Sri Lanka,wickets,4.0,2018-06-23,Barbados
1140385,Tests,England,Sri Lanka,England,runs,211.0,2018-11-06,N/A
1140386,Tests,England,Sri Lanka,England,runs,57.0,2018-11-14,N/A
1140387,Tests,England,Sri Lanka,England,runs,42.0,2018-11-23,Colombo
1142581,Tests,Sri Lanka,South Africa,Sri Lanka,runs,278.0,2018-07-12,N/A
1142582,Tests,Sri Lanka,South Africa,Sri Lanka,runs,199.0,2018-07-20,Colombo
1144153,Tests,South Africa,Pakistan,South Africa,wickets,6.0,2018-12-26,Centurion
1144154,Tests,South Africa,Pakistan,South Africa,wickets,9.0,2019-01-03,Cape Town
1144155,Tests,South Africa,Pakistan,South Africa,runs,107.0,2019-01-11,Johannesburg
1144164,Tests,South Africa,Sri Lanka,Sri Lanka,wickets,1.0,2019-02-13,Durban
1144165,Tests,South Africa,Sri Lanka,Sri Lanka,wickets,8.0,2019-02-21,Port Elizabeth
1144993,Tests,India,Australia,India,runs,31.0,2018-12-06,N/A
1144994,Tests,Australia,India,Australia,runs,146.0,2018-12-14,N/A
1144995,Tests,Australia,India,India,runs,137.0,2018-12-26,Melbourne
1144996,Tests,Australia,India,draw,N/A,,2019-01-03,Sydney
1145000,Tests,Australia,Sri Lanka,Australia,innings,1.0,2019-01-24,Brisbane
1145001,Tests,Australia,Sri Lanka,Australia,runs,366.0,2019-02-01,Canberra
1146717,Tests,Bangladesh,West Indies,West Indies,innings,1.0,2018-07-04,North Sound
1146718,Tests,West Indies,Bangladesh,West Indies,runs,166.0,2018-07-12,Jamaica
1152839,Tests,England,Ireland,England,runs,143.0,2019-07-24,London
1152846,Tests,England,Australia,Australia,runs,251.0,2019-08-01,Birmingham
1152847,Tests,England,Australia,draw,N/A,,2019-08-14,London
1152848,Tests,England,Australia,England,wickets,1.0,2019-08-22,Leeds
1152849,Tests,England,Australia,Australia,runs,185.0,2019-09-04,Manchester
1152850,Tests,England,Australia,England,runs,135.0,2019-09-12,London
